Anchor Information, version 202
     #.     Anchor     Length     use
number of anchors:    49
0.	10	135534747
1.	10_random	113275
2.	11	135006516
3.	11_random	215294
4.	12	133851895
5.	13	115169878
6.	13_random	186858
7.	14	107349540
8.	15	102531392
9.	15_random	784346
10.	16	90354753
11.	16_random	105485
12.	17	81195210
13.	17_random	2617613
14.	18	78077248
15.	18_random	4262
16.	19	59128983
17.	19_random	301858
18.	1	249250621
19.	1_random	1663265
20.	20	63025520
21.	21	48129895
22.	21_random	1679693
23.	22	51304566
24.	22_random	257318
25.	22_h2_hap1	63661
26.	2	243199373
27.	2_random	185571
28.	3	198022430
29.	3_random	749256
30.	4	191154276
31.	4_random	842648
32.	5	180915260
33.	5_random	143687
34.	5_h2_hap1	1794870
35.	6	171115067
36.	6_random	1875562
37.	6_cox_hap1	4731698
38.	6_qbl_hap2	4565931
39.	7	159138663
40.	7_random	549659
41.	8	146364022
42.	8_random	943810
43.	9	141213431
44.	9_random	1146434
45.	M	645825
46.	X	155270560
47.	X_random	1719168
48.	Y	59373566
